split,h5_path,patch_id,center_id,sat_mean,colorfulness,grad_energy,p_soft_white,gray_p1,gray_p99,gray_range_p99_p1,gray_std,gray_entropy,p_black,p_white,score,is_outlier,rank_worst_first
train,train.h5,27858,0,0.0007018058095127344,0.0012110956013202667,0.007724089547991753,0.2807074652777778,0.0,1.0,1.0,0.44576409459114075,0.7805328597225438,0.6997612847222222,0.2696397569444444,4.922115166361133,True,1
train,train.h5,56293,0,0.001193488948047161,0.0011935557704418898,0.005926295183598995,0.283203125,0.0,0.9995547533035278,0.9995547533035278,0.4492621123790741,0.7085159312838663,0.6988932291666666,0.283203125,4.889203529184063,True,2
train,train.h5,16574,3,0.0021775001659989357,0.002055284334346652,0.005609545856714249,0.2449001736111111,0.0,0.99609375,0.99609375,0.4264349639415741,0.69365135812119,0.7375217013888888,0.2406684027777778,4.824096918726961,True,3
train,train.h5,11003,3,0.003181541571393609,0.0018731711897999048,0.005642863921821117,0.2449001736111111,0.0,0.9991093873977661,0.9991093873977661,0.4265463650226593,0.6682762991799438,0.7377387152777778,0.244140625,4.769627222170432,True,4
train,train.h5,23292,0,0.0014726538211107254,0.0032033089082688093,0.0059059057384729385,0.2864583333333333,0.0,0.9917421936988831,0.9917421936988831,0.4465591609477997,0.7651537736051105,0.6969401041666666,0.2864583333333333,4.733679307624698,True,5
train,train.h5,88603,0,0.0024342129472643137,0.002674639690667391,0.005643746815621853,0.2701822916666667,0.0,0.9839296936988831,0.9839296936988831,0.43372780084609985,0.7528054170814751,0.7136501736111112,0.1789279513888889,4.729885084554553,True,6
train,train.h5,51428,0,0.0022857757285237312,0.0016454283613711596,0.007174992933869362,0.3825954861111111,0.0,1.0,1.0,0.48157763481140137,0.8024933743654346,0.5946180555555556,0.3822699652777778,4.629846810673674,True,7
train,train.h5,2334,0,0.001266485545784235,0.0026374065782874823,0.0054535712115466595,0.40625,0.0,0.9926328659057617,0.9926328659057617,0.48423272371292114,0.7373007086260945,0.5833333333333334,0.40625,4.614740525061885,True,8
train,train.h5,90854,3,0.001891345251351595,0.003495696699246764,0.005441918969154358,0.3645833333333333,0.0,0.9867109060287476,0.9867109060287476,0.47152355313301086,0.8739053065023918,0.6354166666666666,0.32421875,4.593988869960109,True,9
train,train.h5,76722,0,0.0014986221212893724,0.0027084150351583958,0.005504755303263664,0.40625,0.0,0.9926328659057617,0.9926328659057617,0.48340603709220886,0.8202177055697923,0.5729166666666666,0.40625,4.5789058562368155,True,10
train,train.h5,69640,0,0.0014173497911542654,0.0029478012584149837,0.005639434326440096,0.40625,0.0,0.9929101467132568,0.9929101467132568,0.4827187955379486,0.9736892382557787,0.5771484375,0.3994140625,4.574712586278717,True,11
train,train.h5,5610,0,0.0015030886279419065,0.0031181471422314644,0.005468958988785744,0.4166666666666667,0.0,0.9882811903953552,0.9882811903953552,0.4852624833583832,0.9565120739551823,0.5729166666666666,0.4165581597222222,4.551292615321775,True,12
train,train.h5,50062,0,0.002465209923684597,0.0031392390374094248,0.0055175661109387875,0.3645833333333333,0.0,0.9921875,0.9921875,0.4755397140979767,0.8172363539213211,0.6145833333333334,0.3645833333333333,4.548245069260399,True,13
train,train.h5,86657,0,0.001591197564266622,0.0030819091480225325,0.005586154758930206,0.40625,0.0,0.9901654124259949,0.9901654124259949,0.4818808138370514,0.9386065397786529,0.5729166666666666,0.4014756944444444,4.547834552514057,True,14
train,train.h5,90526,3,0.0061379047110676765,0.0034647691063582897,0.0049398066475987434,0.20399305555555555,0.0,0.9857773780822754,0.9857773780822754,0.397258460521698,0.6803168815492471,0.78125,0.1782769097222222,4.5437354159851875,True,15
train,train.h5,49774,0,0.0016116035403683782,0.0031590142752975225,0.00549272820353508,0.40625,0.0,0.9900937080383301,0.9900937080383301,0.4821036756038666,0.8959031429949639,0.5729166666666666,0.4049479166666667,4.54133381228894,True,16
train,train.h5,84548,0,0.0017481992254033685,0.003275117138400674,0.005608222912997007,0.40625,0.0,0.9886948466300964,0.9886948466300964,0.4816206693649292,0.9631209308370388,0.5833333333333334,0.3575303819444444,4.5401122424130635,True,17
train,train.h5,5280,3,0.002031308598816395,0.001670925528742373,0.005622048396617174,0.4791666666666667,0.0,1.0,1.0,0.4931408166885376,0.8019744869725576,0.5104166666666666,0.46875,4.518809391496083,True,18
train,train.h5,37205,0,0.0018863251898437738,0.003566155442968011,0.005557151045650244,0.40625,0.0,0.9873905777931213,0.9873905777931213,0.4794698655605316,0.9877243546404396,0.5833333333333334,0.3490668402777778,4.511501291145881,True,19
train,train.h5,69818,0,0.0026275096461176872,0.003067971207201481,0.005497036501765251,0.3854166666666667,0.0,0.9956483840942383,0.9956483840942383,0.4804670810699463,0.7909921104882839,0.59375,0.3840060763888889,4.510926276445389,True,20
train,train.h5,83436,0,0.0019458236638456583,0.0036054402589797974,0.005579281132668257,0.40625,0.0,0.9921875,0.9921875,0.4831664562225342,0.8711959323023122,0.5833333333333334,0.4046223958333333,4.504915738478303,True,21
train,train.h5,79655,0,0.0018318407237529755,0.0035643293522298336,0.005528379697352648,0.4166666666666667,0.0,0.9795781373977661,0.9795781373977661,0.48007628321647644,0.7409883871650436,0.5729166666666666,0.007921006944444444,4.499630328267813,True,22
train,train.h5,55912,0,0.0022496143355965614,0.002362089231610298,0.0054437885992228985,0.46875,0.0,0.9921875,0.9921875,0.49196526408195496,0.7500710032339052,0.5208333333333334,0.46875,4.473803095519543,True,23
train,train.h5,20133,3,0.0022636193316429853,0.004016593564301729,0.005571149755269289,0.40625,0.0,0.9866679906845093,0.9866679906845093,0.48029637336730957,0.9368170653747764,0.5833333333333334,0.333984375,4.456319140270352,True,24
